sample,word,freq,per1000,total_words,author
10,into,1,3.215434083601286,311,satoshi
10,itself,0,0,311,satoshi
10,more,3,9.646302250803858,311,satoshi
10,most,0,0,311,satoshi
10,myself,0,0,311,satoshi
10,not,3,9.646302250803858,311,satoshi
10,off,2,6.430868167202572,311,satoshi
10,other,3,9.646302250803858,311,satoshi
10,ought,0,0,311,satoshi
10,our,0,0,311,satoshi
10,out,0,0,311,satoshi
10,over,0,0,311,satoshi
10,own,0,0,311,satoshi
10,same,0,0,311,satoshi
10,should,0,0,311,satoshi
10,some,0,0,311,satoshi
10,such,0,0,311,satoshi
10,than,0,0,311,satoshi
10,that,6,19.292604501607716,311,satoshi
10,the,38,122.18649517684887,311,satoshi
10,their,0,0,311,satoshi
10,them,0,0,311,satoshi
10,then,2,6.430868167202572,311,satoshi
10,there,0,0,311,satoshi
10,these,1,3.215434083601286,311,satoshi
10,they,0,0,311,satoshi
10,this,0,0,311,satoshi
10,those,0,0,311,satoshi
10,through,0,0,311,satoshi
10,too,0,0,311,satoshi
10,under,0,0,311,satoshi
10,until,0,0,311,satoshi
10,was,1,3.215434083601286,311,satoshi
10,were,1,3.215434083601286,311,satoshi
10,what,0,0,311,satoshi
10,when,9,28.938906752411576,311,satoshi
10,where,0,0,311,satoshi
10,which,1,3.215434083601286,311,satoshi
10,while,1,3.215434083601286,311,satoshi
10,who,0,0,311,satoshi
10,with,2,6.430868167202572,311,satoshi
10,would,0,0,311,satoshi
10,you,7,22.508038585209,311,satoshi
10,your,5,16.077170418006432,311,satoshi
10,yourself,0,0,311,satoshi
11,about,1,3.3112582781456954,302,satoshi
11,after,0,0,302,satoshi
11,again,0,0,302,satoshi
11,against,0,0,302,satoshi
11,all,1,3.3112582781456954,302,satoshi
11,and,3,9.933774834437086,302,satoshi
11,are,1,3.3112582781456954,302,satoshi
11,been,1,3.3112582781456954,302,satoshi
11,below,0,0,302,satoshi
11,between,0,0,302,satoshi
11,both,0,0,302,satoshi
11,but,2,6.622516556291391,302,satoshi
11,cannot,0,0,302,satoshi
11,could,3,9.933774834437086,302,satoshi
11,did,0,0,302,satoshi
11,down,0,0,302,satoshi
11,each,2,6.622516556291391,302,satoshi
11,few,0,0,302,satoshi
11,for,5,16.556291390728475,302,satoshi
11,from,1,3.3112582781456954,302,satoshi
11,further,0,0,302,satoshi
11,had,0,0,302,satoshi
11,has,1,3.3112582781456954,302,satoshi
11,have,0,0,302,satoshi
11,here,0,0,302,satoshi
11,him,0,0,302,satoshi
11,himself,0,0,302,satoshi
11,his,0,0,302,satoshi
11,how,0,0,302,satoshi
11,into,1,3.3112582781456954,302,satoshi
11,itself,0,0,302,satoshi
11,more,1,3.3112582781456954,302,satoshi
11,most,0,0,302,satoshi
11,myself,0,0,302,satoshi
